,product_name,price_RM,discount_percent,quantity_sold,original_price_RM
40,[ORIGINAL] 70mai Electrostatic Sticker 3M A800 M500 1S LITE N3 MINI 3 70MAI PRO Yi Dashcam 3M Electrostatic Sticker DDPAI Heat Resistant Adhesive For 70Mai 70Mai Pro GPS Yi Dashcam,3.69,75,60000,14.76
41,DOSEN 24 Hours Record 1080P FHD Wifi 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器 行车记录仪,78.49,24,18,103.28
42,[FREE WIRE KIT] Kamatto Dashcam K60 2K 1440P Ultra HD Parking Surveillance Car Recorder With Screen,343.86,50,205000,687.72
43,"Dash Cam W/ IR Night Vision Loop Recording & 2"" IPS Screen 1080P 3 Camera ， DVR recorder, video recorder, Vehicle DVR",52.79,10,110,58.66
44,Mini Car DVRs Camera Dash Cam Full HD 1080P Recorder Video Registrar Night Vision Vehicle Recorder Carcam Dash Camera,27.55,49,24,54.02
45,4K Dual Dash Cam Car Dashcam 1080P HD Car Camera Recorder Car View Cam Front Back Auto Driving Recorder Interior Recorder Video Cam Night Vision,62.9,35,109,96.77
46,WiFi car DVR dash camera USB WiFi car recorder vedio car DVR camera recorder dashcam,40.85,31,110,59.2
47,Car Front & Rear View Reverse Camera Parking Camera LED / AHD / INFRARED 170 Degree Wide Angle Water Proof HD Camera 1PC,11.8,37,26,18.73
48,New 1080P Full HD 4.3 Inch Dual Lens Car DVR Dash Cam Front and Rear Mirror Camera Video Recorder,68.2,79,21000,324.76
49,3 Lenses Car Dash Cam 1080P Front+Interior+Rear Car DVR Driving Video Recorder 行车记录仪,64.5,31,320,93.48
50,DDPAI Dash Cam Z40 1944P Ultra HD Car Camera | Front and Rear Camera,349.0,34,81,528.79
51,HD Car Dash Camera USB Front DVR Camera Night Vision Registrator Recorder with ADAS For Android Player Dashcam,38.1,14,14000,44.3
52,SAFECAM QuatroV1 4-Channel Dashcam FHD 1080P x 4 Built-in WIFI 24-H Time Lapse Infrared Cabin Inner Lens Left Right Lens,279.0,45,59,507.27
53,DDPAI Dash Cam MINI Pro 1296P Ultra HD Vehicle Drive Auto Video DVR Android Wifi Smart Connect Car Camera Recorder,159.0,8,38,172.83
54,Car DVR Dash Camera USB Front and Rear Dual Lens Video Recorder 720P AHD Reverse Cam Night Vision with ADAS For Android Player,34.87,73,12000,129.15
55,24 Hours Record Car Dash Cam Dual Camera Front & Back 1080P WIFI Car Camera Recorder Dual Lens Car DVR With Night Vision,75.9,47,23000,143.21
56,SAFECAM V20 Pro Front Rear Cam Dual Cameras Full HD 1080P WIFI Dashcam Night Vision App Control,169.0,65,77000,482.86
57,70mai M300 Car Recorder Dash Cam 1296P 140 FOV WDR App Control Parking Mode,168.27,25,11,224.36
58,70mai A400 Car Recorder Front Dash Cam QHD 1440P Night Vision 145 FOV WDR App Control Smart,299.0,38,14000,482.26
59,Wireless Car Rear View 2.4G Wifi Camera 170 Degree Reversing Camera HD Night Vision Waterproof Dash Cam for 12V 24V Vehicles,57.25,55,125,127.22
60,70mai A810 4K Dash Cam Dual Vision Car Recorder with GPS ADAS [Pre-Order 14 Days],649.0,47,97,1224.53
61,3 Camera Lens Car HD 1080P 24h Parking Monitor Video Recorder Dashcam Car DVR Driving Dash Cam Night Vision Parking Mode,59.9,70,318,199.67
62,EKLEVA 3 Camera Lens Car DVR 3-Channel Dash Cam HD 1080P Dash Camera Dual Lens Dashcam Video Recorder 24H Parking Monitoring Dashcam,174.61,39,192,286.25
63,3in1 Dash Cam Car Camera DVR HD 1080P 170 Wide Angle Cycle Recorder G-Sensor 3 IN 1 Dashcam Ready Stock,65.78,8,6,71.5
64,New 4.3Inch 1080P Full HD Dual Lens Car DVR Dash Cam Front and Rear Mirror Camera Video Recorder,64.0,58,23000,152.38
65,EKLEVA 4.0 Inch 3 Lens Car Black Box Dash Cam HD 1080P 360 Degree Wide Angle Car Camera DVR Video Recorder Dashcam,122.55,53,439,260.74
66,&lt;1080MP&gt; FULL HD Car Camera Full Wide Angle RecordingVideo LIVE,27.55,21,326,34.87
67,DOSEN 3-inch Wifi Dashcam for car 1080P HD dual recording and dual cameras Dual Lens Recorder front and interior dash cam App Control DVR 行车记录器,89.5,51,146,182.65
68,EKLEVA Car DVR Camera Wifi ADAS Dash Cam Full HD 1080P Night Vision Car Camera Recorder G-sensor Android USB Digital Registrator,104.37,17,297,125.75
69,Dash Cam Front and Rear Dual Lens 4K&1296P Recording Car Camera DVR Built-In  -Sensor Night Vision Loop Recorder Dashcam,53.83,50,39,107.66
70,South Ocean FHD 1080P Wifi 3 Channel Dashcam Infrared Night Vision Panoramic 360° 24h Parking Monitor Dash Cam,89.9,63,113,242.97
71,EKLEVA USB Dash Cam Car Video Camera Night Vision Dash Cam Video Recorder Support Android Car Player USB Camera 170° Wide Angle Car Dashcam Hidden Auto DVR Register,40.88,53,118,86.98
72,[New Launch] 70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,229.0,52,32000,477.08
73,Wifi dash cam 4k Bluetooth Carplay&Android Auto Mirror Link Voice control Asawin CP10 Wireless Car Stereo 10.26 Inch IPS Touch Screen Car Radio GPS navigation night vision,242.8,20,39,303.5
74,[FREE INSTALLATION] TRAPO i-SIGHT T550 4K Dashcam,549.0,27,45000,752.05
75,FHD 1080P dashcam Front and back car Camera dual lens recorder Asawin A12J night vision Auto cycle video 3.0 Inch IPS Screen,77.9,77,21000,338.7
76,STAPON hd 1280x720p 140 degree dashcam ADAS Android USB DVR driving recorder with night vision Loop recording S6A,27.38,71,647,94.41
77,Car Camera Recorder Dash Cam 2.7Full HD 1080P 140 Degree  Front  DVR  Camcorder  Video Recorderer,24.67,13,14,28.36
78,70mai 1S D06 DashCam Wi-Fi DVR Car Camera Dash Cam 130° Angle SONY Starvis [24hr Parking Monitor],148.0,51,148,302.04
79,"【Malaysia Spot Sale】Driving Recorder 1080P Car Camera screen Vehicle Video Dash Cam Dual Lens front and rear Car DVR Driver Recorder 170° wide loop recording with waterproof HD rear camera 4"" Touch Screen Video Recorder Front 行车记录仪",69.0,45,339,125.45
80,TYZONG 24-hour Uninterrupted Driving Recorder Panoramic Wifi 360 Front and rear Dual Lens ultra high definition 1080P Reversing image Dashcam for car,62.82,67,65000,190.36
81,V380 FOVV S50 Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,126.3,67,13000,382.73
82,"【Shipping From Malaysia】4"" Screen 1080P Dash Cam Front+Interior+Rear Car Driving Recorder Suction Cup Mount",59.0,49,158,115.69
83,Full HD DVR Dash 1080P Camera Car DVR ADAS Dashcam/ Android Car Recorder Dash Cam/Night Version,35.8,53,20000,76.17
84,"SAFECAM A33 Triple Lens 3 Camera 1080P Dashcam Front Cam + Inner Cam + Rear Cam (4"")",109.0,80,66,545.0
85,SouthOcean 24H Record WIFI FHD 3 Camera Dashcam for Car Front + Interior + Rear Dash Cam Night Vision Parking Mode Car Driving video Recorder 行车记录仪,69.9,45,78,127.09
86,70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,155.0,21,449,196.2
87,FHD 1080P Wifi 3 Channel  Dashcam for Car Infrared Night Vision Panoramic 360° 24h Parking Monitor Dash Cam Driving Video Recorder,90.62,56,63000,205.95
88,[NEW LAUNCH] DDPAI N5 Dual 4K Ultra HD GPS Front & Rear Recording Dash Cam Super Capacitor,389.0,67,59,1178.79
89,3 Lens HD WIFI Driving Recorder Car DVR Dash Cam 170° Wide Angle Night-Vision Loop-Recording G-Sensor 三镜头行车记录仪,77.09,54,28,167.59
90,READY 2024 ETTRO M2(T672TP) Car Recorder 4 inch Dash Cam 1296P Dual Lens Touch Screen HD Driving Recorder/HD Night Vision/DVR,115.0,52,38,239.58
91,LOCAL STOCK 2.4 LCD DVR CAR RECORDER/ CAR CAMERA / DASH CAM,27.55,20,180,34.44
92,New 1080P Full HD Dash Cam Car Video Driving Recorder with Center Console LCD Car DVR Video Recorder Parking Monitor,131.95,64,36,366.53
93,New 1080P Full HD Dash Cam Car Video Driving Recorder with Center Console LCD Car DVR Video Recorder Parking Monitor,123.2,55,194,273.78
94,Car DVR Dash Cam Full HD 1080P Dash Cam For DVD Android Player ADAS LDWS Navigation Unit Auto Audio Voice Alarm Video Recording,37.79,32,33,55.57
95,"Professional Car Dash Camera Dash Cam Smart Car Dash Camera 1080P HD Reusable Car Camera Driving Recorder with 3"" LCD Display Smart Dash Cam",44.1,53,272,93.83
96,【Malaysia Spot Sale】1296P 1080P Dual Lens 4 inch Touch Car Camera Video Dash Cam Full HD 170° Front Dashboard Car Cam 480P Rear View Camera 行车记录仪,92.0,27,560,126.03
97,70mai M300 Car Recorder Dash Cam FHD+ 1296p Support Parking Surveillance - (GREY/ ROSE GOLD/ NAVY),160.0,64,33,444.44
98,Car Rear View Camara Dash Cam Reverse Camera Night Backup Parking Monitor Vision HD 1080P Camera 170° I4X6,15.59,31,18,22.59
99,[New Launch] 70mai A510 Dash Cam Dual Vision Car Recorder with GPS ADAS [Coming Soon],419.0,67,794,1269.7
100,AZDOME M550PRO 2160P/4K Ultra HD 3 Channel Front & Rear DashCam Night Vision App Control Car Camera Driving Recorder,309.0,38,179,498.39
101,4.0In Dash Cam Car DVR 24H HD 1080P Dash Camera Dual Lens Video Recorder 1080P Black Box Cycle Dashcam Mirror Driving Recorder,62.9,58,24000,149.76
102,"Car Dash Cam 1080P Dual Lens 4""Touch Screen Video Recorder Front and Rear Reverse Camera Night Vision 170° degree Wide Angle Dashcam",77.79,72,22000,277.82
103,Car Dash Camera with 4in Screen Front and Rear Dual Lens Car DVR Driver Recorder with G-sensor,64.9,60,14,162.25
104,70mai RC09 Rear Camera for A400 Dashcam with Night Vision for Reverse Gear Camera,79.0,55,11000,175.56
105,Front and Back 2 Camera Mirror Cam 3.2 inch Car DVR Rearview Mirror Driving Recorder 1080P Auto Dual Lens Dahscam Rearview Camera Car DVR,58.5,60,846,146.25
106,Asawin A5 dash cam for car Camera recorder front and rear 3.16 Inch IPS dash camera night vision Auto cycle video,89.0,63,55,240.54
107,Asawin Adas Car Camera Wifi For Car Dvr LDWS FCWS 2K Front and Rear Dual Lens APP Control Night Vison 3 Inch IPS Dash cam,73.8,53,21000,157.02
108,South Ocean 24H Record 4 Channel WiFi Built-in GPS Dashcam FHD 1080P Front Left Right Rear With Infrared Night Vision Car Dash Cam,269.9,53,10,574.26
