,product_name,price_RM,discount_percent,quantity_sold,original_price_RM,brand
38,【Great Selection】 2k Dash Cam For Cars Camera Wifi Dual Car Dvr 24h Parking Rear View Camera For Vehicle Video Recorder Car Assecories,19.0,20,846,23.75,other/unstated
39,70mai Omni X200 360° Dashcam 4G GPS AI Parking Surveillance HDR Night Vision ADS Voice Control 60 FPS Car Finder,539.0,5,46000,567.37,70mai
40,[ORIGINAL] 70mai Electrostatic Sticker 3M A800 M500 1S LITE N3 MINI 3 70MAI PRO Yi Dashcam 3M Electrostatic Sticker DDPAI Heat Resistant Adhesive For 70Mai 70Mai Pro GPS Yi Dashcam,3.69,54,18,8.02,70mai
41,[FREE WIRE KIT] Kamatto Dashcam K60 2K 1440P Ultra HD Parking Surveillance Car Recorder With Screen,343.86,75,205000,1375.44,other/unstated
42,"Dash Cam W/ IR Night Vision Loop Recording & 2"" IPS Screen 1080P 3 Camera ， DVR recorder, video recorder, Vehicle DVR",52.79,42,65000,91.02,other/unstated
43,SouthOcean 24H Record WIFI FHD 3 Camera Dashcam for Car Front + Interior + Rear Dash Cam Night Vision Parking Mode Car Driving video Recorder 行车记录仪,69.9,13,110,80.34,southocean
44,Mini Car DVRs Camera Dash Cam Full HD 1080P Recorder Video Registrar Night Vision Vehicle Recorder Carcam Dash Camera,27.55,35,148,42.38,other/unstated
45,Full HD DVR Dash 1080P Camera Car DVR ADAS Dashcam/ Android Car Recorder Dash Cam/Night Version,35.8,45,243,65.09,other/unstated
46,WiFi car DVR dash camera USB WiFi car recorder vedio car DVR camera recorder dashcam,40.85,79,109,194.52,other/unstated
47,Aitemay Car DVR Camera G30 Full HD 1080P 120 Degree Dashcam Video Recorder Night Vision G-Sensor Motion Detection Dash Camera,24.25,79,47,115.48,aitemay
48,Car Front & Rear View Reverse Camera Parking Camera LED / AHD / INFRARED 170 Degree Wide Angle Water Proof HD Camera 1PC,11.8,22,158,15.13,other/unstated
49,Car Camera Recorder HD Car Dash Camera USB Front DVR Camera Dash Cam Car Recorder,31.84,72,81,113.71,other/unstated
50,[NEW LAUNCH] DDPAI N5 Dual 4K Ultra HD GPS Front & Rear Recording Dash Cam Super Capacitor,389.0,22,20000,498.72,ddpai
51,SAFECAM QuatroV1 4-Channel Dashcam FHD 1080P x 4 Built-in WIFI 24-H Time Lapse Infrared Cabin Inner Lens Left Right Lens,279.0,14,51,324.42,safecam
52,READY 2024 ETTRO M2(T672TP) Car Recorder 4 inch Dash Cam 1296P Dual Lens Touch Screen HD Driving Recorder/HD Night Vision/DVR,115.0,49,38,225.49,ettro
53,4.0 inch Dash cam Dual Lens front and rear for Car DVR Driver Recorder  HD 1080P 170° wide loop recording touch screen car camera HD screen Dashcam 行车记录仪,62.9,13,323,72.3,other/unstated
54,24 Hours Record Car Dash Cam Dual Camera Front & Back 1080P WIFI Car Camera Recorder Dual Lens Car DVR With Night Vision,75.9,42,51,130.86,other/unstated
